coffee_name;total_score;roaster_location;coffee_origin;roast_level;est._price;agtron_ground;agtron_roast;price_per_100g;price_per_ounce;origin_country
Ethiopia Duromina Agaro Gera;94;Mount Shasta, California;Agaro Gera, Jimma Zone, Oromia State, Ethiopia;Light;$17.00/12 ounces;62;81;5;17.0;Ethiopia
Winter 2022 Allocation Colombia;94;Phoenix, Arizona;Quindio Department, Colombia;Light;$50.00/6 ounces;62;80;29,39;50.0;Colombia
Laura’s Reserve SL34;96;Holualoa, Hawai’i;Holualoa, North Kona growing district, “Big Island” of Hawai’i;Medium Light;$69.95/8 ounces;60;80;30,84;69.95;
El Salvador 2022 COE#17 El Mirador Washed Gesha;96;Chia-Yi, Taiwan;Apaneca-Ilamatepec, El Salvador;Medium Light;NT $500/4 ounces;58;78;440,92;500.0;Salvador
Panama ABU Washed Gesha Lot GW57;95;Chia-Yi, Taiwan;Cañas Verdes, Boquete growing region, western Panama;Light;NT $1,000/4 ounces;64;84;0,88;;Panama
Guatemala Natural El General Bistro Lot Espresso;94;Chia-Yi, Taiwan;Acatenango, Chimaltenango, Guatemala;Medium Light;NT $290/8 ounces;58;76;127,87;290.0;Guatemala
Ethiopia 2022 COE#25 Natural Tadesse 74112;94;Chia-Yi, Taiwan;Gedeo Zone, SNNPR, southern Ethiopia;Light;NT $450 /4 ounces;65;84;396,83;450.0;Ethiopia
Ethiopia Washed Sidama Rumudamo;94;Chia-Yi, Taiwan;Arbegona, Sidamo growing region, south-central Ethiopia;Light;NT $390/8 ounces;64;86;171,96;390.0;Ethiopia
Lemon Sugar Wash;95;Taipei, Taiwan;Sidamo growing region, south-central Ethiopia;Medium Light;NT $550/225 grams;59;77;244,44;19.400352733686066;Ethiopia
Kenya Kiambu AA;95;Taipei, Taiwan;Kiambu growing region, south-central Kenya;Medium Light;NT $650/225 grams;60;76;288,89;22.92768959435626;Kenya
Colombia Geisha Allium;94;San Diego, California;Valle de Cauca Department, Colombia;Light;$65.00/8 ounces;62;84;28,66;65.0;Colombia
Wilton Benitez Orange Bourbon;96;Madison, Wisconsin;Piendamó, Cauca Department, Colombia;Light;$19.00/8 ounces;60;82;8,38;19.0;Colombia
Kayon Mountain Ethiopia;94;Madison, Wisconsin;Odo Shakiso District, Guji Zone, southern Ethiopia;Medium Light;$18.00/12 ounces;58;78;5,29;18.0;Ethiopia
Ethiopia Kochere Arefasa Washed G1;94;Nantou, Taiwan;Yirgacheffe growing region, southern Ethiopia;Light;NT $500/227 grams;62;80;220,26;17.636684303350968;Ethiopia
Colombia Granja Paraíso Java P14;95;Minneapolis, Minnesota;Cauca Department, Colombia;Light;$50.00/4 ounces;64;82;44,09;50.0;Colombia
El Salvador Finca El Retiro Sudan Rume Natural;94;Chia-Yi, Taiwan;Apaneca-Ilamatepec growing region, El Salvador;Medium Light;$16.00/230 grams;62;78;6,96;0.564373897707231;Salvador
Ethiopia Hayissa Olocho Lot 6;94;Savannah, Georgia;Sidamo growing region, Ethiopia;Light;$27.00/10 ounces;61;82;9,52;27.0;Ethiopia
Nyeri Hill Kenya;94;Madison, Wisconsin;Nyeri growing region, south-central Kenya;Medium Light;$22.00/12 ounces;58;80;6,47;22.0;Kenya
Ethiopia COE #8 Sidama Arbegona Muluneh Tute Galcho 74158 Natural;95;Yilan, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $1700/200 grams;63;82;850;59.9647266313933;Ethiopia
Chelbessa Ethiopia;94;Madison, Wisconsin;Yirgacheffe growing region, southern Ethiopia;Medium Light;$20.00/12 ounces;60;78;5,88;20.0;Ethiopia
Ka’u Tropical Punch;94;Minneapolis, Minnesota;Ka'u growing region, Big Island of Hawai’i;Medium Light;$25.00/4 ounces;60;78;22,05;25.0;
Ethiopia Gesha Village Illubabor Forest Lot 22/043 (Single-Terroir) Natural Process;94;Taipei, Taiwan;Bench-Maji Zone, Southern Ethiopia;Light;NT $299/100 grams;64;84;299;10.54673721340388;Ethiopia
Ethiopia Gera Genji Challa;94;San Diego, California;Agaro Gera, Jimma Zone, Oromia State, Ethiopia;Medium Light;$28.00/12 ounces;59;77;8,23;28.0;Ethiopia
Kenya Gotomboya Peaberry;94;San Diego, California;Nyeri growing region, south-central Kenya;Medium Light;$27.00/12 ounces;59;77;7,94;27.0;Kenya
Panama Hartmann Estate Chicho Gallo Amaro Gayo Natural BOP#1;94;Taipei, Taiwan;Chiriqui Province, far western Panama;Medium Light;NT $549/100 grams;60;78;549;19.365079365079364;Panama
Kenya Ichamama;94;San Diego, California;Nyeri growing region, south-central Kenya;Medium Light;$28.00/12 ounces;59;77;8,23;28.0;Kenya
Ethiopia Uchoro Nansebo Washed;95;Floyd, Virginia;Yirgacheffe growing region, southern Ethiopia;Light;$27.00/12 ounces;60;82;7,94;27.0;Ethiopia
Nekisse Phantom Roasting;95;Hong Kong, China;Sidamo growing region, south-central Ethiopia;Light;HKD $650/150 grams;64;83;433,33;;Ethiopia
Colombia Finca Samboni Gesha Anaerobic Natural;94;Floyd, Virginia;Algeciras, Huila Department, Colombia;Medium Light;$30.00/12 ounces;62;78;8,82;30.0;Colombia
Kambera Inari Roasting;94;Hong Kong, China;Piedra Candela, Panama;Light;HKD $530/150 grams;62;80;353,33;;Panama
Colombia Don Correa Gesha;94;Lexington, Virginia;San Jose, Caldas, Colombia;Light;$32.95/12 ounces;62;80;9,69;32.95;Colombia
Ethiopia BergWu Maker Series Yirgacheffe Wuri G1 Lot MW21/02;94;Hong Kong, China;Yirgacheffe growing region, southern Ethiopia;Medium Light;HKD $128/200 grams;62;78;64;;Ethiopia
Mexico Finca Santa Cruz COE#1b;94;Macao, China;La Concordia, Chiapas State, Mexico;Light;HKD $498/100 grams;64;84;498;;Mexico
Wilton Benitez Geisha;95;Madison, Wisconsin;Piendamó, Cauca Department, Colombia;Medium Light;$25.00/8 ounces;59;81;11,02;25.0;Colombia
Colombia Cerro Azul Geisha;95;San Diego, California;Trujillo, Valle del Cauca Department, Colombia;Light;$59.00/8 ounces;62;80;26,01;59.0;Colombia
Yirgacheffe Mengesha Natural;94;Glendale, California;Yirgacheffe growing region, southern Ethiopia;Medium Light;$20.50/12 ounces;60;77;6,03;45797,00;Ethiopia
Panama Geisha Finca Debra Symbiosis;94;Redding, California;Volcan growing region, western Panama;Light;$45.00/4 ounces;62;80;39,68;45.0;Panama
Panama Geisha Finca Debra Echo;94;Redding, California;Volcan growing region, western Panama;Light;$40.00/200 grams;64;80;20;1.4109347442680775;Panama
Ethiopia Hamasho Washed;95;Minnesota, Minnesota;Bombe Mountains, Sidama Region, Ethiopia;Light;$25.00/12 ounces;62;81;7,35;25.0;Ethiopia
Ethiopia Idido Anaerobic Natural;95;Minneapolis, Minnesota;Yirgacheffe growing region, southern Ethiopia;Medium Light;$20.00/6 ounces;61;80;11,76;20.0;Ethiopia
Mexico Cup of Excellence #7;94;Manlius, New York;Coatepec, Veracruz State, Mexico;Light;$40.00/12 ounces;62;80;11,76;40.0;Mexico
Ethiopia Reko Yirgacheffe;94;Sacramento, California;Yirgacheffe growing region, southern Ethiopia;Medium Light;$23.50/12 ounces;60;76;6,91;45800,00;Ethiopia
Double-Anaerobic Fermentation Tamiru Tadesse;94;Big Lake, Alaska;Sidamo growing region, south-central Ethiopia;Light;$40.00/10 ounces;62;80;14,11;40.0;Ethiopia
Ethiopia Chelbesa Danche Yirgacheffe;94;San Diego, California;Chelchele, Gedeb District, Gedeo Zone, Ethiopia;Medium Light;$24.00/12 ounces;60;77;7,05;24.0;Ethiopia
Ethiopia Honey Process Tamiru Tadesse;94;Big Lake, Alaska;Sidamo growing region, south-central Ethiopia;Light;$35.00/10 ounces;64;83;12,35;35.0;Ethiopia
Ethiopia Halo Beriti;96;Lexington, Virginia;Yirgacheffe growing region, southern Ethiopia;Medium Light;$20.95/12 ounces;60;77;6,16;20.95;Ethiopia
Narsha Gesha;96;Denver, Colorado;Bench-Maji Zone, southern Ethiopia;Light;$35.00/200 grams;63;81;17,5;1.2345679012345678;Ethiopia
Ethiopia Washed Guji Uraga Welichu;96;Chia-Yi, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Medium Light;NT $375/8 ounces;58;78;165,34;375.0;Ethiopia
Don Roger & Isabel’s Natural Fruit Symphony;94;Rochester, New York;Jinotega Department, Nicaragua;Medium Light;$19.00/175 grams;60;77;10,86;0.6701940035273368;Nicaragua
Kenya Gitare AA TOP;95;Chia-Yi, Taiwan;Embu County, Eastern Province, Kenya;Light;NT $340/8 ounces;62;80;149,91;340.0;Kenya
Yemen Natural Sana’a Manakhah Ja’adi;95;Chia-Yi, Taiwan;Manakhah, Sana'a, Yemen;Medium Light;NT $900/4 ounces;58;77;793,65;900.0;Yemen
Ethiopia Bench Maji Gesha Special Natural Lot 03;95;Chia-Yi, Taiwan;Bench-Maji Zone, southern Ethiopia;Light;NT $400/8 ounces;64;81;176,37;400.0;Ethiopia
Ethiopia Yirgacheffe Kochere Debo Premium Lot Washed Process;94;Taipei, Taiwan;Yirgacheffe growing region, southern Ethiopia;Light;NT $459/8 ounces;62;80;202,38;459.0;Ethiopia
Ethiopia Natural Yirgacheffe Burtukaana Danche;94;Chia-Yi, Taiwan;Gedeo Zone, southern Ethiopia;Medium Light;NT $350/8 ounces;60;78;154,32;350.0;Ethiopia
Ethiopia Hateso Guji Washed;94;Bozeman, Montana;Guji Zone, Oromia Region, Ethiopia;Medium Light;$20.00/12 ounces;59;78;5,88;20.0;Ethiopia
Guatemala El Injerto Pacamara;94;San Rafael, California;La Libertad, Huehuetenango Department, Guatemala;Medium Light;$22.00/6 ounces;58;74;12,93;22.0;Guatemala
Colombia Finca Samboni Gesha Anaerobic Natural;95;Charlotte, North Carolina;Algeciras, Huila Department, Colombia;Light;$45.00/12 ounces;62;80;13,23;45.0;Colombia
Colombia Tres Dragones;94;San Diego, California;Caicedonia, Valle de Cauca Department, Colombia;Light;$23.00/10 ounces;64;84;8,11;23.0;Colombia
Rwanda Cyesha Natural;94;Charlotte, North Carolina;Nyamasheke District, Lake Kivu, Rwanda;Medium Light;$26.00/12 ounces;58;74;7,64;26.0;Rwanda
Espresso No. 3;94;Antigua, Guatemala;Antigua growing region, Guatemala;Medium Light;$20.00/12 ounces;54;78;5,88;20.0;Guatemala
Finca Santa Isabel;94;Antigua, Guatemala;Cobán growing region, Alta Verapaz Department, Guatemala;Medium Light;$13.00/12 ounces;58;76;3,82;13.0;Guatemala
Colombia Castillo Fruit Maceration Series (Passionfruit);95;Jersey City, New Jersey;Armenia, Quindio Department, Colombia;Medium Light;$25.00/8 ounces;58;78;11,02;25.0;Colombia
Colombia Castillo Fruit Maceration Series (Strawberry);94;Jersey City, New Jersey;Armenia, Quindio Department, Colombia;Medium Light;$25.00/8 ounces;61;78;11,02;25.0;Colombia
Colombia Castillo Fruit Maceration Series (Peach);94;Jersey City, New Jersey;Armenia, Quindio Department, Colombia;Medium Light;$25.00/8 ounces;60;77;11,02;25.0;Colombia
Full Moon Espresso;95;Taipei, Taiwan;"Ethiopia; Guatemala; El Salvador; Panama; Costa Rica";Medium;NT $550/200 grams;48;64;275;19.400352733686066;Rica
Ethiopia Sidama Tamiru Tadesse Anaerobic Natural Special Auction Lot;95;Taipei, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Light;$10.00/4 ounces;62;80;8,82;10.0;Ethiopia
Colombia La Esperanza 100% Geisha Hanashaku;94;Taoyuan, Taiwan;Valle de Cauca, Colombia;Light;NT$500/4 ounces;65;81;440,92;500.0;Colombia
Kona Extra Fancy;95;Lincoln, California;Kona growing region, “Big Island” of Hawai’i;Medium Light;$45.99/12 ounces;58;74;13,52;45.99;
Costa Rica Las Lajas Perla Negra;94;Durango, Colorado;Sabanilla de Alajuela growing region, Costa Rica;Medium Light;$18.95/12 ounces;57;76;5,57;18.95;Rica
Ecuador COE 1st place Arashi Typica Mejorado Washed;96;Yilan, Taiwan;Saraguro, Loja, Ecuador;Light;NT $800/20 grams;62;80;4000;28.21869488536155;Ecuador
Ethiopia Getu Kurume Natural;95;Hsinchu, Taiwan;Yirgacheffe growing region, southern Ethiopia;Light;NT $460/8 ounces;64;86;202,82;460.0;Ethiopia
Fruit of the Goddess Espresso Blend;94;Taipei City, Taiwan;"Kenya; Costa Rica; Ethiopia";Medium Light;NT $550/454 grams;52;70;121,15;19.400352733686066;Ethiopia
Papua New Guinea Wahgi Valley Sigri Estate Peaberry;94;Taipei City, Taiwan;Western Highlands Province, Papua New Guinea;Medium Light;NT $550/227 grams;57;77;242,29;19.400352733686066;Guinea
Kenya Nyeri Asali Peaberry;95;Taipei City, Taiwan;Nyeri growing region, south-central Kenya;Medium Light;NT $500/227 grams;60;77;220,26;17.636684303350968;Kenya
Memories of Autumn;94;Taitung, Taiwan;"Ethiopia; Colombia";Light;NT$399/8 ounces;64;82;175,93;399.0;Colombia
Ethiopia Gera Estate Anaerobic Natural;95;Charlotte, North Carolina;Djimma growing region, Oromia State, Ethiopia;Medium Light;$22.00/12 ounces;60;78;6,47;22.0;Ethiopia
Colombia Cauca Finca El Paraiso Double-Anaerobic Flor Lychee;95;Changhua, Taiwan;Cauca Department, Colombia;Medium Light;NT $520/200g;60;78;;;Colombia
Costa Rica Cerro Dragon Geisha Honey;94;Bozeman, Montana;Tarrazú, Costa Rica;Medium Light;$30.00/12 ounces;59;78;8,82;30.0;Rica
Guatemala Washed El Injerto EI05 Mocca;96;Chia-Yi, Taiwan;La Libertad, Huehuetenango Department, Guatemala;Light;NT $1200/4 ounces;61;81;1058,2;1200.0;Guatemala
Taiwan Natural Alishan Zhuo-Wu Geisha;95;Chia-Yi, Taiwan;Alishan, Chia-Yi, Taiwan;Medium Light;NT $600/50 grams;60;78;1200;21.164021164021165;Taiwan
Ethiopia Natural Guji Uraga Tome 74110 Lot K06;95;Chia-Yi, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Light;NT $325/8 ounces;63;85;143,3;325.0;Ethiopia
Kenya Gathaithi AA;94;Montrose, Colorado;Nyeri growing region, south-central Kenya;Medium Light;$14.00/250 grams;58;76;5,6;0.49382716049382713;Kenya
Ethiopia Guji Uraga Tobutu Tuta G1 Experimental LOT 181NA2021;95;Osaka, Japan;Guji Zone, Oromia Region, southern Ethiopia;Light;$12.50/100 grams;72;90;12,5;0.4409171075837742;Ethiopia
Colombia Jardines del Eden Pink Bourbon Wine Yeast Honey;94;Toronto, Canada;Pijao, Quindio Department, Colombia;Light;CAD $30.00/250 grams;64;86;12;;Colombia
Colombia Cerro Azul Enano;94;San Rafael, California;Trujillo, Valle del Cauca Department, Colombia;Medium Light;$26.00/12 ounces;60;77;7,64;26.0;Colombia
Peru Incahuasi;94;Phoenix, Arizona;Cusco Region, Peru;Medium Light;$26.00/12 ounces;58;78;7,64;26.0;Peru
Reina de la Asuncion Ecuador;94;Madison, Wisconsin;Congonama, Loja, Ecuador;Medium Light;$20.00/12 ounces;58;74;5,88;20.0;Ecuador
Ethiopia Guji Uraga More Floral Kudume Washed;95;Yilan, Taiwan;Guji Zone, Oromia Region, Southern Ethiopia;Light;NT $550/200 grams;65;82;275;19.400352733686066;Ethiopia
Ethiopia Guji Uraga More Floral Kudume Natural;94;Yilan, Taiwan;Guji Zone, Oromia Region, Southern Ethiopia;Medium Light;NT $550/200 grams;62;77;275;19.400352733686066;Ethiopia
Kenya Nyeri Hill;94;Lexington, Virginia;Nyeri growing region, south-central Kenya;Medium Light;$21.95/12 ounces;60;78;6,45;21.95;Kenya
Kenya AA TOP Nairobi Rose;94;Taipei, Taiwan;Embu County, Kenya;Medium Light;NT $400/8 ounces;60;77;176,37;400.0;Kenya
Kahiko;96;Holualoa, Hawaii;Holualoa, North Kona growing district, “Big Island” of Hawai’i;Medium Light;$47.95/8 ounces;56;74;21,14;47.95;
Kenya Ndumberi Peaberry;94;San Diego, California;Kiambu County, Kenya;Medium Light;$27.00/14 ounces;58;77;6,8;27.0;Kenya
Taiwan Alishan Espresso Pacamara Natural;94;Taoyuan, Taiwan;Alishan Township, Chiayi County, Taiwan;Medium;NT $2300/230 grams;48;67;1000;81.12874779541445;Taiwan
Ethiopia Gera Reserve Anaerobic Natural;94;Youngstown, Ohio;Djimma growing region, Oromia State, Ethiopia;Light;$19.50/10 ounces;62;84;6,88;45796,00;Ethiopia
Kenya Ngaita Peaberry;94;San Diego, California;Kiambu County, Kenya;Medium Light;$27.00/14 ounces;60;77;6,8;27.0;Kenya
Kenya AB;94;New Taipei City, Taiwan;Nyeri growing region, south-central Kenya;Light;NT $750/230 grams;64;84;326,09;26.455026455026452;Kenya
Kona Noir;94;Mountain View, Hawaii;Holualoa, Kona, Big Island of Hawai’i;Light;$29.00/4 ounces;62;80;25,57;29.0;
Kona Red Bourbon;94;Mountain View, Hawaii;Holualoa, Kona, Big Island of Hawai’i;Medium Light;$49.00/10 ounces;60;78;17,28;49.0;
Kenya Washed Nyeri Hill Farm AA Top;96;Chia-Yi, Taiwan;Nyeri growing region, south-central Kenya;Medium Light;NT $390/8 ounces;60;77;171,96;390.0;Kenya
Ethiopia Nano Genji;95;Sacramento, California;Agaro Gera, Jimma Zone, Oromia State, Ethiopia;Light;$25.50/12 ounces;62;80;7,5;45802,00;Ethiopia
Ethiopia Natural Sidama Abebe 74110;95;Chia-Yi, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $300/4 ounces;62;80;264,55;300.0;Ethiopia
Ethiopia Natural Guji TAMIRU 74158 Kakalove Lot;95;Chia-Yi, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Light;NT $350/4 ounces;64;84;308,64;350.0;Ethiopia
Rwanda Sholi Natural Single-Origin Espresso;94;Sacramento, California;Muhanga, Rwanda;Medium Light;$22.00/12 ounces;56;72;6,47;22.0;Rwanda
Guatemala Washed Finca El General Lot SummerEnd Espresso;94;Chia-Yi, Taiwan;Acatenango, Chimaltenango Department, Guatemala;Medium Light;NT $240/8 ounces;56;74;105,82;240.0;Guatemala
Guatemala Washed Acatenango Finca El General Pacamara Espresso;94;Chia-Yi, Taiwan;Acatenango, Chimaltenango Department, Guatemala;Medium Light;NT $350/8 ounces;58;78;154,32;350.0;Guatemala
Finca Cerro Azul Aces Lot;94;Billings, Montana;Guerrero State, Mexico;Medium Light;$32.25/8 ounces;61;79;14,22;32.25;Mexico
Gachatha Kenya;96;Madison, Wisconsin;Karundu, Nyeri County, Kenya;Medium Light;$24.00/12 ounces;59;77;7,05;24.0;Kenya
Geisha Spirit;94;Manassas, Virginia;Tolima Department, Colombia;Medium Light;$39.50/12 ounces;58;78;11,61;39.5;Colombia
Colombia Sudan Rume;95;San Diego, California;Valle del Cauca Department, Colombia;Light;$80.00/8 ounces;64;82;35,27;80.0;Colombia
El Duende Peru;94;Madison, Wisconsin;Huarango, San Ignacio, Cajamarca growing region, Peru;Medium Light;$17.00/12 ounces;58;76;5;17.0;Peru
Ethiopia Yirgacheffe G1 Idido Natural;95;Yilan, Taiwan;Gedeo Zone, SNNP Region, southern Ethiopia;Light;NT $550/200 grams;65;85;275;19.400352733686066;Ethiopia
Colombia Pink Bourbon Filadelfia;95;San Diego, California;Huila Department, Colombia;Light;$26.00/10 ounces;64;82;9,17;26.0;Colombia
Ethiopia Kayon Mountain;94;Tucson, Arizona;Odo Shakiso District, Guji Zone, southern Ethiopia;Medium Light;$20.00/12 ounces;60;78;5,88;20.0;Ethiopia
Kenya;95;Taipei City, Taiwan;Nyeri growing region, south-central Kenya;Medium Light;NT $600/227 grams;62;77;264,32;21.164021164021165;Kenya
Karen J Kona Red Bourbon;96;Holualoa, Hawai’i;Holualoa, North Kona growing district, “Big Island” of Hawai’i;Medium Light;$54.95/8 ounces;58;78;24,23;54.95;
Ethiopia Worka Sakaro;95;Floyd, Virginia;Gedeb District, Gedeo Zone, southern Ethiopia;Medium Light;$22.00/12 ounces;60;78;6,47;22.0;Ethiopia
Colombia Geisha;94;San Diego, California;Planadas, Tolima, Colombia;Medium Light;$24.00/8 ounces;58;76;10,58;24.0;Colombia
Colombia Don Ruiz Anaerobic;95;Lexington, Virginia;Caldas, Colombia;Medium Light;$28.50/12 ounces;60;78;8,38;45805,00;Colombia
Colombia FUDAM Nariño;94;Lexington, Virginia;La Union, Nariño, Colombia;Light;$18.50/12 ounces;62;80;5,44;45795,00;Colombia
Ethiopia Durato Bombe;95;Miami, Florida;Sidamo growing region, southern Ethiopia;Light;$24.00/12 ounces;68;92;7,05;24.0;Ethiopia
Pantan Musara Sumatra;94;Madison, Wisconsin;Aceh Province, Sumatra, Indonesia;Medium Light;$21.00/12 ounces;58;76;6,17;21.0;Indonesia
Sumatra Takengon Gayo Natural;94;Portland, Maine;Aceh Province, Sumatra, Indonesia;Light;$21.50/16 ounces;62;80;4,74;45798,00;Indonesia
Nano Genji #7;95;Madison, Wisconsin;Agaro Gera, Jimma Zone, Oromia State, Ethiopia;Medium Light;$19.00/12 ounces;58;78;5,59;19.0;Ethiopia
Panama Auromar Camilina Geisha Natural;95;Henderson, Nevada;Piedra Candela, Chiriqui Province, far western Panama;Medium Light;$50.00/4 ounces;60;78;44,09;50.0;Panama
Tio Conejo Colombia;94;Madison, Wisconsin;Vereda Santa Rita, Manizales, Caldas, Colombia;Medium Light;$18.00/8 ounces;58;76;7,94;18.0;Colombia
Panama Auromar Ironman Geisha Washed Process;94;Henderson, Nevada;Piedra Candela, Chiriqui Province, far western Panama;Medium Light;$50.00/4 ounces;60;78;44,09;50.0;Panama
Cruz Loma;94;Madison, Wisconsin;San José de Minas, Pichincha Province, Ecuador;Medium Light;$25.00/8 ounces;57;75;11,02;25.0;Ecuador
Panama Elida Washed Gesha;95;Jersey City, New Jersey;Boquete growing region, western Panama;Light;$60.00/150 grams;64;84;40;2.1164021164021163;Panama
El Salvador Finca La Esperanza;94;Chia-Yi, Taiwan;Apaneca-Ilamatepec, El Salvador;Medium Light;$14.00/230 grams;62;78;6,09;0.49382716049382713;Salvador
Panama Hacienda La Esmeralda Super Mario Geisha Yeast Washed;95;Taipei, Taiwan;Boquete growing region, Panama;Medium Light;NT $1250/60 grams;60;77;2083,33;44.091710758377424;Panama
Quartet Kaffe Blend No.10;94;Taipei, Taiwan;"Ethiopia; Kenya; Bolivia; Panama";Medium Light;NT $500/200 grams;56;72;250;17.636684303350968;Panama
Ethiopia Anasora Extended Natural Special Lot;94;Taipei, Taiwan;Guji Zone, Oromia Region, Southern Ethiopia;Medium Light;NT $880/200 grams;60;76;440;31.040564373897706;Ethiopia
Ethiopia Honey Yirgacheffe Idido G1;95;Chia-Yi, Taiwan;Gedeo Zone, SNNP Region, southern Ethiopia;Medium Light;NT $350/8 ounces;60;80;154,32;350.0;Ethiopia
Taiwan Natural Alishan Ching-Ye Farm;94;Chia-Yi, Taiwan;Alishan, Chia-Yi, Taiwan;Medium Light;NT $550/4 ounces;58;76;485,01;550.0;Taiwan
Hawaii Ka‘ū Bourbon Anaerobic Natural;95;Minneapolis, Minnesota;Ka‘ū growing region, Big Island of Hawai’i;Medium Light;$30.00/4 ounces;57;74;26,46;30.0;
Chelchele Ethiopia;94;Madison, Wisconsin;Gedeb District, Gedeo Zone, southern Ethiopia;Medium Light;$19.00/12 ounces;58;78;5,59;19.0;Ethiopia
Colombia Antioquia Magico;94;Minneapolis, Minnesota;Urrao, Antioquia Department, Colombia;Light;$19.00/6 ounces;62;80;11,17;19.0;Colombia
Costa Rica Hacienda La Minita;94;Bozeman, Montana;Los Santos, Tarrazú, Costa Rica;Medium Light;$17.50/12 ounces;57;73;5,14;45794,00;Rica
El Salvador Aida Batlle La Florida Natural;95;Ventura, California;Apaneca-Ilamatepec growing region, El Salvador;Medium Light;$18.65/12 ounces;56;74;5,48;18.65;Salvador
Colombia Geisha Cordillera;95;San Diego, California;Santa Barbara, Antioquia Department, Colombia;Medium Light;$65.00/8 ounces;58;78;28,66;65.0;Colombia
Ethiopia Raro Boda;94;San Diego, California;Guji Zone, Oromia Region, Southern Ethiopia;Medium Light;$22.00/12 ounces;56;74;6,47;22.0;Ethiopia
Costa Rica Bounty Gesha;94;Lee, Massachusetts;Dota, Tarrazú growing region, Costa Rica;Medium Light;$39.45/12 ounces;60;78;11,6;39.45;Rica
Panama Static Gesha Natural;95;Topeka, Kansas;Boquete growing region, Panama;Medium Light;$45.00/12 ounces;58;77;13,23;45.0;Panama
Panama La Mula Geisha Washed;95;Yilan, Taiwan;Chiriqui Province, western Panama;Light;NT $1800/60 grams;60;82;3000;63.49206349206349;Panama
Esmeralda Estate Panama Geisha;94;London, England;Boquete growing region, western Panama;;£50/10 capsules;0;0;;;Panama
Costa Rica San Gabriel SL28 Anaerobic Natural;94;Yilan, Taiwan;Mercedes Sur, Turrubares, San José Province, Costa Rica;Medium Light;NT $600/200 grams;58;76;300;21.164021164021165;Rica
Burundi Kibingo Intenso;94;Glendale, California;Kayanza Province, Burundi;Medium Light;$21.00/12 ounces;57;74;6,17;21.0;Burundi
Ecuador Peñaherrera AAA;95;San Diego, California;Ibarra, Imbabura Province, Ecuador;Medium Light;$25.00/12 ounces;58;76;7,35;25.0;Ecuador
Panama Hacienda La Esmeralda Porton 5N49 Gesha Natural;95;Topeka, Kansas;Alto Quiel, Panama;Medium Light;$65.00/8 ounces;60;77;28,66;65.0;Panama
Kona SL34 Champagne Natural Uluwehi Farm;95;Minneapolis, Minnesota;Holualoa, Kona, Big Island of Hawai’i;Medium Light;$30.00/4 ounces;58;76;26,46;30.0;
Ethiopia Yirgacheffe Adado;94;Harrisonburg, Virginia;Yirgacheffe growing region, southern Ethiopia;Medium Light;$18.99/12 ounces;60;78;5,58;18.99;Ethiopia
Tanzania Mbeya Mimba;95;Lexington, Virginia;Mbozi, Mbeya growing region, southwestern Tanzania;Medium Light;$18.75/12 ounces;58;76;5,51;18.75;Tanzania
Costa Rica La Chumeca;94;Lexington, Virginia;Santa Maria de Dota, Costa Rica;Medium Light;$23.00/12 ounces;60;78;6,76;23.0;Rica
Gesha Spirits;95;San Diego, California;Huila, Colombia;Medium Light;$24.50/5.5 ounces;60;77;15,71;45801,00;Colombia
Kenya Nyeri Hill Farm AA TOP;94;Taipei, Taiwan;Nyeri growing region, south-central Kenya;Medium Light;NT $349/8 ounces;59;79;153,88;349.0;Kenya
Costa Rica Las Montañas Honey;94;Thermopolis, Wyoming;Tarrazú growing region, Costa Rica;Medium Light;$14.00/12 ounces;60;78;4,12;14.0;Rica
Colombia Finca La Guaca Ají;94;San Rafael, California;Pitalito Municipality, Huila Department, Colombia;Light;$19.50/6 ounces;62;80;11,46;45796,00;Colombia
Kenya Washed Kiambu Uklili AB Espresso;96;Chia-Yi, Taiwan;Kiambu growing region, south-central Kenya;Medium Light;NT $400/8 ounces;54;72;176,37;400.0;Kenya
Karatina Kenya;95;Madison, Wisconsin;Nyeri County, Kenya;Medium Light;$23.00/12 ounces;58;76;6,76;23.0;Kenya
Karamo Ethiopia;94;Madison, Wisconsin;Sidama growing region, Ethiopia;Medium Light;$19.00/12 ounces;60;78;5,59;19.0;Ethiopia
Ethiopia Natural Shakisso Mormora 74112;95;Chia-Yi, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Medium Light;NT $325/8 ounces;54;76;143,3;325.0;Ethiopia
Ethiopia Washed Shakisso Mormora 74112;95;Chia-Yi, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Medium Light;NT $325/8 ounces;58;78;143,3;325.0;Ethiopia
Tang Bohu Espresso Blend;95;Taoyuan, Taiwan;"Ethiopia; Kenya; Colombia; Costa Rica";Medium;NT $650/8 ounces;45;70;286,6;650.0;Rica
Colombia Quindio Anaerobic Natural;94;Minneapolis, Minnesota;Quindio Department, Colombia;Medium Light;$30.00/12 ounces;60;78;8,82;30.0;Colombia
